Étel neve;Hús típusa;Ár;Tészta típusa;Összetevők
Burrito Csirkés;csirke;3367;tortilla;tortilla, grillezett csirke, rizs, vörösbab, kukorica, paradicsom, cheddar, tejföl, saláta, fűszerek
Burrito Babos;Húsmentes;3367;tortilla;tortilla, vörösbab, kukorica, paradicsom, cheddar, tejföl, saláta, fűszerek
Burrito Pulled Pork;disznó;3367;tortilla;tortilla, pulled pork, rizs, vörösbab, kukorica, paradicsom, cheddar, tejföl, saláta, fűszerek
Burrito Rántott Csirkés;csirke;3367;tortilla;tortilla, rántott csirke, rizs, vörösbab, kukorica, paradicsom, cheddar, tejföl, saláta
Burrito Vega;Húsmentes;3367;tortilla;tortilla, sült zöldségek, vörösbab, kukorica, paradicsom, cheddar, tejföl, saláta
Quesadilla Csirkés;csirke;3627;tortilla;tortilla, csirkemell, cheddar, sajt, paprika, hagyma
Quesadilla Babos;Húsmentes;3627;tortilla;tortilla, vörösbab, cheddar, sajt, paprika, hagyma
Quesadilla Pulled Pork;disznó;3757;tortilla;tortilla, pulled pork, cheddar, sajt, paprika, hagyma
Quesadilla Rántott Csirkés;csirke;3237;tortilla;tortilla, rántott csirke, cheddar, sajt, paprika, hagyma
Quesadilla Vega;Húsmentes;3625;tortilla;tortilla, sült zöldségek, cheddar, sajt, paprika, hagyma
Quesadilla SOMA;Húsmentes;3627;tortilla;tortilla, sajt, bab, kukorica, paradicsom, paprika, hagyma
Quesadilla Magyaros;Húsmentes;3887;tortilla;tortilla, sajt, paprika, hagyma, kolbász, paradicsom
Chimichanga Csirkés;csirke;3367;tortilla;tortilla, csirkemell, sajt, paprika, hagyma, paradicsomszósz
Chimichanga Pulled Pork;disznó;3367;tortilla;tortilla, pulled pork, sajt, paprika, hagyma, paradicsomszósz
Enchilada Csirkés;csirke;3497;tortilla;tortilla, csirkemell, sajt, paprika, paradicsomszósz
Enchilada Babos;Húsmentes;3497;tortilla;tortilla, vörösbab, sajt, paprika, paradicsomszósz
Enchilada Vegyes;Húsmentes;3627;tortilla;tortilla, csirke, bab, sajt, paprika, paradicsomszósz
Wrap Csirkés;csirke;2587;tortilla;tortilla, csirkemell, saláta, paradicsom, cheddar, szósz
Wrap Pulled Pork;disznó;2587;tortilla;tortilla, pulled pork, saláta, paradicsom, cheddar, szósz
Wrap Gyro;Húsmentes;2457;tortilla;tortilla, sült zöldségek, feta sajt, tzatziki
Cheese Wrap;Húsmentes;2457;tortilla;tortilla, cheddar, sajt, saláta, paradicsom, szósz
Mexikói Sajtos-tejfölös lángos;Húsmentes;1157;lángos;lángos, sajt, tejföl
Taco Csirkés;csirke;3237;tortilla;tortilla, csirkemell, saláta, paradicsom, cheddar, szósz
Taco Babos;Húsmentes;3237;tortilla;tortilla, vörösbab, saláta, paradicsom, cheddar, szósz
Taco Pulled Pork;disznó;3237;tortilla;tortilla, pulled pork, saláta, paradicsom, cheddar, szósz
Taco Vegyes;Húsmentes;3367;tortilla;tortilla, csirke, bab, sajt, saláta, paradicsom
Gluténmentes Taco;Húsmentes;3627;tortilla;gluténmentes tortilla, bab, sajt, saláta, paradicsom
Pizza Tortilla Csirkés;csirke;3367;tortilla;tortilla, csirkemell, sajt, paradicsomszósz, paprika, hagyma
Pizza Tortilla Pulled Pork;disznó;3497;tortilla;tortilla, pulled pork, sajt, paradicsomszósz, paprika, hagyma
Pizza Tortilla Chilis Bab;Húsmentes;3367;tortilla;tortilla, bab, sajt, paradicsomszósz, paprika, hagyma
Classic Hot-Dog;Húsmentes;1365;nincs;virsli, zsemle, mustár, ketchup
Sajtos Hot-Dog;Húsmentes;1417;nincs;virsli, zsemle, sajt, ketchup
Chilis Bab Hot-Dog;Húsmentes;1365;nincs;virsli, zsemle, chilis bab
Hamburger Rántott Csirkés;csirke;2197;nincs;zsemle, rántott csirke, saláta, paradicsom, szósz
Hamburger Pulled Pork;disznó;2197;nincs;zsemle, pulled pork, saláta, paradicsom, szósz
Falusi szelet;Húsmentes;2587;nincs;sertés szelet, fűszerek, köret
Sárkány szelet;Húsmentes;3107;nincs;sertés szelet, paprika, fűszerek, köret
Tanyasi szelet;Húsmentes;2587;nincs;sertés szelet, fűszerek, köret
Makói szelet;Húsmentes;2847;nincs;sertés szelet, paprika, fűszerek, köret
Sólyomszem;Húsmentes;2457;nincs;sertés szelet, fűszerek, köret
Rántott csirkemell sokmagvas;csirke;2457;nincs;csirkemell, panír, fűszerek, köret
Sajttal, sokmaggal töltött csirkemell;csirke;2457;nincs;csirkemell, sajt, panír, fűszerek, köret
Sajttal, sokmaggal töltött sertéskaraj;disznó;2587;nincs;sertéskaraj, sajt, panír, fűszerek, köret
Sajttal, gombával töltött csirkemell;csirke;2458;nincs;csirkemell, sajt, gomba, panír, fűszerek, köret
Sajttal, gombával töltött sertéskaraj;disznó;2587;nincs;sertéskaraj, sajt, gomba, panír, fűszerek, köret
Kijevi csirkemell;csirke;2587;nincs;csirkemell, fűszervaj, panír, köret
Rántott karaj tükörtojással;disznó;2977;nincs;sertéskaraj, panír, tükörtojás, köret
Rántott csirkemell tükörtojással;csirke;2977;nincs;csirkemell, panír, tükörtojás, köret
Rántott sajt;Húsmentes;2197;nincs;sajt, panír, köret
Rántott hagymakarikák;Húsmentes;1937;nincs;hagymakarikák, panír, köret
Rántott csirkeszárnyak;csirke;3237;nincs;csirkeszárnyak, panír, köret, szósz
Natúr csirkemell;csirke;2067;nincs;csirkemell, köret
Magyaros rántott karaj;disznó;3367;nincs;sertéskaraj, panír, paprika, köret
Sajt-sonka csirke chipsben;csirke;2977;nincs;csirkemell, sajt, sonka, chips, köret
Mustáros natúr karaj;disznó;2587;nincs;sertéskaraj, mustár, köret
Betyár falatok (sertés, tojás);disznó;4537;nincs;sertés, tükörtojás, virsli, köret
Velővel töltött karaj;disznó;2587;nincs;sertéskaraj, velő, panír, köret
Pacal pörkölt;disznó;4277;nincs;pacal, hagyma, paprika, fűszerek
Velőspacal pörkölt;disznó;4537;nincs;pacal, velő, hagyma, paprika, fűszerek
Zúza pörkölt;Húsmentes;3497;nincs;zúza, hagyma, paprika, fűszerek
Chilis bab;Húsmentes;3627;nincs;bab, hagyma, paprika, paradicsom, fűszerek
Csirkesaláta;csirke;3367;nincs;csirkemell, saláta, paradicsom, kukorica, sajt, öntet
Kukoricás csirke saláta;csirke;3367;nincs;csirkemell, saláta, paradicsom, kukorica, sajt, öntet
Pulled pork saláta;disznó;3497;nincs;pulled pork, saláta, paradicsom, kukorica, sajt, öntet
Szakács ajánlása saláta;Húsmentes;3627;nincs;saláta, paradicsom, paprika, kukorica, sajt, öntet
Natur csirkemell saláta tortilla ágyon;csirke;3627;nincs;csirkemell, tortilla, saláta, paradicsom, paprika, öntet
Párolt rizs;Húsmentes;910;nincs;rizs, víz, só
Kukoricás rizs;Húsmentes;975;nincs;rizs, kukorica, víz, só
Gombás rizs;Húsmentes;975;nincs;rizs, gomba, víz, só, fűszerek
Sült burgonya;Húsmentes;1027;nincs;burgonya, olaj, só
Steak burgonya;Húsmentes;1118;nincs;burgonya, olaj, só
Magyaros burgonya;Húsmentes;1157;nincs;burgonya, paprika, olaj, só
Saláta;Húsmentes;1274;nincs;saláta, paradicsom, paprika, öntet
Cheddar sajt szósz;Húsmentes;1547;nincs;cheddar, tej, fűszerek
BBQ szósz;Húsmentes;780;nincs;paradicsom, ecet, cukor, fűszerek
Ketchup;Húsmentes;780;nincs;paradicsom, ecet, cukor, fűszerek
Majonéz;Húsmentes;780;nincs;tojás, olaj, citromlé, fűszerek
Mustár;Húsmentes;780;nincs;mustármag, ecet, víz, só
Gofri nutellás;Húsmentes;2587;nincs;tészta, nutella, banán, tejszínhab
Crispas;Húsmentes;1937;nincs;tortilla, fahéjas cukor, mártogatós
Nutellás-banános álom;Húsmentes;1807;nincs;tészta, nutella, banán, tejszínhab
Nachos szósszal;Húsmentes;2587;nincs;nachos chips, sajt szósz, salsa szósz
